path,area,name_pattern,size_bytes,mutability,referenced_by
.claude/skills/ui-ux-pro-max/data/catalog-summary.json,.claude,catalog-summary.json,2392,unknown,3
.claude/skills/ui-ux-pro-max/data/charts.csv,.claude,charts.csv,23365,unknown,4
.claude/skills/ui-ux-pro-max/data/colors.csv,.claude,colors.csv,37940,unknown,7
.claude/skills/ui-ux-pro-max/data/data-provenance.json,.claude,data-provenance.json,36686,unknown,3
.claude/skills/ui-ux-pro-max/data/google-font-licenses.json,.claude,google-font-licenses.json,433127,unknown,4
.claude/skills/ui-ux-pro-max/data/google-fonts.csv,.claude,google-fonts.csv,747241,unknown,6
.claude/skills/ui-ux-pro-max/data/icons.csv,.claude,icons.csv,57945,unknown,7
.claude/skills/ui-ux-pro-max/data/landing.csv,.claude,landing.csv,25449,unknown,5
.claude/skills/ui-ux-pro-max/data/motion.csv,.claude,motion.csv,14679,unknown,6
.claude/skills/ui-ux-pro-max/data/phosphor-icons-upstream.json,.claude,phosphor-icons-upstream.json,823933,unknown,5
.claude/skills/ui-ux-pro-max/data/products.csv,.claude,products.csv,75623,unknown,4
.claude/skills/ui-ux-pro-max/data/react-performance.csv,.claude,react-performance.csv,15080,unknown,4
.claude/skills/ui-ux-pro-max/data/stacks/angular.csv,.claude,angular.csv,19863,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/astro.csv,.claude,astro.csv,14591,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/avalonia.csv,.claude,avalonia.csv,27327,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/flutter.csv,.claude,flutter.csv,14192,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/html-tailwind.csv,.claude,html-tailwind.csv,16551,unknown,5
.claude/skills/ui-ux-pro-max/data/stacks/javafx.csv,.claude,javafx.csv,33577,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/jetpack-compose.csv,.claude,jetpack-compose.csv,12295,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/laravel.csv,.claude,laravel.csv,20163,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/nextjs.csv,.claude,nextjs.csv,18687,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/nuxt-ui.csv,.claude,nuxt-ui.csv,24106,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/nuxtjs.csv,.claude,nuxtjs.csv,23014,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/react-native.csv,.claude,react-native.csv,14049,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/react.csv,.claude,react.csv,19036,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/shadcn.csv,.claude,shadcn.csv,23184,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/svelte.csv,.claude,svelte.csv,15078,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/swiftui.csv,.claude,swiftui.csv,15323,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/threejs.csv,.claude,threejs.csv,46051,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/uno.csv,.claude,uno.csv,30091,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/uwp.csv,.claude,uwp.csv,24692,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/vue.csv,.claude,vue.csv,12813,unknown,2
.claude/skills/ui-ux-pro-max/data/stacks/winui.csv,.claude,winui.csv,27890,unknown,1
.claude/skills/ui-ux-pro-max/data/stacks/wpf.csv,.claude,wpf.csv,24158,unknown,1
.claude/skills/ui-ux-pro-max/data/styles.csv,.claude,styles.csv,149478,unknown,8
.claude/skills/ui-ux-pro-max/data/typography.csv,.claude,typography.csv,49997,unknown,5
.claude/skills/ui-ux-pro-max/data/ui-reasoning.csv,.claude,ui-reasoning.csv,77360,unknown,5
.claude/skills/ui-ux-pro-max/data/ux-guidelines.csv,.claude,ux-guidelines.csv,27516,unknown,6
.claude/skills/ui-ux-pro-max/references/pro-rules.md,.claude,pro-rules.md,10909,unknown,1
.claude/skills/ui-ux-pro-max/references/quick-reference.md,.claude,quick-reference.md,24526,unknown,2
.claude/skills/ui-ux-pro-max/scripts/core.py,.claude,core.py,41234,unknown,30
.claude/skills/ui-ux-pro-max/scripts/design_system.py,.claude,design_system.py,70937,unknown,4
.claude/skills/ui-ux-pro-max/scripts/reasoning_contract.py,.claude,reasoning_contract.py,5824,unknown,1
.claude/skills/ui-ux-pro-max/scripts/search.py,.claude,search.py,9123,unknown,3
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/catalogs/google-api.json,.claude,google-api.json,1079,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/catalogs/google-catalog.json,.claude,google-catalog.json,1772,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/catalogs/google-existing.csv,.claude,google-existing.csv,480,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/catalogs/google-metadata.json,.claude,google-metadata.json,328,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/catalogs/google-overrides.json,.claude,google-overrides.json,97,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/catalogs/icons-curated.csv,.claude,icons-curated.csv,495,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/catalogs/phosphor-core.json,.claude,phosphor-core.json,571,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/catalogs/phosphor-package.json,.claude,phosphor-package.json,370,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/catalogs/phosphor-react-exports.json,.claude,phosphor-react-exports.json,87,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/catalogs/phosphor-react-package.json,.claude,phosphor-react-package.json,81,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/relevance-baseline.json,.claude,relevance-baseline.json,89436,unknown,1
